Code,Code_Cont
AND,EU
ARE,AS
AFG,AS
ATG,NA
AIA,NA
ALB,EU
ARM,AS
ANT,NA
AGO,AF
ATA,AN
ARG,SA
ASM,OC
AUT,EU
AUS,OC
ABW,NA
ALA,EU
AZE,AS
BIH,EU
BRB,NA
BGD,AS
BEL,EU
BFA,AF
BGR,EU
BHR,AS
BDI,AF
BEN,AF
BLM,NA
BMU,NA
BRN,AS
BOL,SA
BES,NA
BRA,SA
BHS,NA
BTN,AS
BVT,AN
BWA,AF
BLR,EU
BLZ,NA
CAN,NA
CCK,AS
COD,AF
CAF,AF
COG,AF
CHE,EU
CIV,AF
COK,OC
CHL,SA
CMR,AF
CHN,AS
COL,SA
CRI,NA
SCG,EU
CUB,NA
CPV,AF
CUW,NA
CXR,OC
CYP,EU
CZE,EU
DEU,EU
DJI,AF
DNK,EU
DMA,NA
DOM,NA
DZA,AF
ECU,SA
EST,EU
EGY,AF
ESH,AF
ERI,AF
ESP,EU
ETH,AF
FIN,EU
FJI,OC
FLK,SA
FSM,OC
FRO,EU
FRA,EU
GAB,AF
GBR,EU
GRD,NA
GEO,AS
GUF,SA
GGY,EU
GHA,AF
GIB,EU
GRL,NA
GMB,AF
GIN,AF
GLP,NA
GNQ,AF
GRC,EU
SGS,AN
GTM,NA
GUM,OC
GNB,AF
GUY,SA
HKG,AS
HMD,AN
HND,NA
HRV,EU
HTI,NA
HUN,EU
IDN,AS
IRL,EU
ISR,AS
IMN,EU
IND,AS
IOT,AS
IRQ,AS
IRN,AS
ISL,EU
ITA,EU
JEY,EU
JAM,NA
JOR,AS
JPN,AS
KEN,AF
KGZ,AS
KHM,AS
KIR,OC
COM,AF
KNA,NA
PRK,AS
KOR,AS
KWT,AS
CYM,NA
KAZ,AS
LAO,AS
LBN,AS
LCA,NA
LIE,EU
LKA,AS
LBR,AF
LSO,AF
LTU,EU
LUX,EU
LVA,EU
LBY,AF
MAR,AF
MCO,EU
MDA,EU
MNE,EU
MAF,NA
MDG,AF
MHL,OC
MKD,EU
MLI,AF
MMR,AS
MNG,AS
MAC,AS
MNP,OC
MTQ,NA
MRT,AF
MSR,NA
MLT,EU
MUS,AF
MDV,AS
MWI,AF
MEX,NA
MYS,AS
MOZ,AF
NAM,AF
NCL,OC
NER,AF
NFK,OC
NGA,AF
NIC,NA
NLD,EU
NOR,EU
NPL,AS
NRU,OC
NIU,OC
NZL,OC
OMN,AS
PAN,NA
PER,SA
PYF,OC
PNG,OC
PHL,AS
PAK,AS
POL,EU
SPM,NA
PCN,OC
PRI,NA
PSE,AS
PRT,EU
PLW,OC
PRY,SA
QAT,AS
REU,AF
ROU,EU
SRB,EU
RUS,EU
RWA,AF
SAU,AS
SLB,OC
SYC,AF
SDN,AF
SWE,EU
SGP,AS
SHN,AF
SVN,EU
SJM,EU
SVK,EU
SLE,AF
SMR,EU
SEN,AF
SOM,AF
SUR,SA
SSD,AF
STP,AF
SLV,NA
SXM,NA
SYR,AS
SWZ,AF
TCA,NA
TCD,AF
ATF,AN
TGO,AF
THA,AS
TJK,AS
TKL,OC
TLS,OC
TKM,AS
TUN,AF
TON,OC
TUR,AS
TTO,NA
TUV,OC
TWN,AS
TZA,AF
UKR,EU
UGA,AF
UMI,OC
USA,NA
URY,SA
UZB,AS
VAT,EU
VCT,NA
VEN,SA
VGB,NA
VIR,NA
VNM,AS
VUT,OC
WLF,OC
WSM,OC
XKX,EU
YEM,AS
MYT,AF
ZAF,AF
ZMB,AF
ZWE,AF
